 본부명 , 지사명 , 노선명 , 구간 , 방 향 , 5km , 발생건수 ,위도,경도
강원,홍천,중앙선,315~320,부산,315,13,37.34098704,127.9125914
강원,홍천,중앙선,315~320,춘천,315,7,37.34098704,127.9125914
강원,홍천,중앙선,385~390,춘천,385,6,37.83876894,127.7779955
강원,강릉,동해선,65~70,속초,65,4,37.80291629,128.8238867
강원,대관령,영동선,230~235,인천,230,4,37.75493092,128.7965065
강원,원주,영동선,120~125,강릉,120,4,37.3461271,127.8714305
강원,홍천,중앙선,345~350,부산,345,4,37.57288403,127.9732079
강원,홍천,중앙선,380~385,부산,380,4,37.80220681,127.7716686
강원,홍천,중앙선,360~365,부산,360,4,37.6701836,127.8743817
강원,강릉,동해선,20~25,근덕,20,3,37.53076573,129.0955466
강원,강릉,동해선,50~55,속초,50,3,37.69083783,128.8971321
강원,대관령,영동선,160~165,강릉,160,3,37.49256431,128.2052831
강원,대관령,영동선,165~170,인천,165,3,37.51607231,128.250337
강원,원주,영동선,140~145,강릉,140,3,37.44539209,128.0360124
강원,원주,영동선,155~160,인천,155,3,37.47547139,128.155756
강원,원주,영동선,130~135,인천,130,3,37.40120957,127.9481384
강원,원주,영동선,100~105,인천,100,3,37.24914838,127.7146223
강원,홍천,중앙선,370~375,부산,370,3,37.72454318,127.7967582
강원,홍천,중앙선,340~345,부산,340,3,37.52998812,127.9787662
강원,홍천,중앙선,370~375,춘천,370,3,37.72454318,127.7967582
광주전남,함평,무안광주선,30~35,무안,30,5,35.0984857,126.6874541
광주전남,순천,호남선,15~20,천안,15,4,35.02851072,127.3225054
광주전남,함평,무안광주선,35~40,무안,35,4,35.11995266,126.7343378
광주전남,함평,무안광주선,10~15,무안,10,4,35.03032502,126.4896234
광주전남,함평,무안광주선,20~25,무안,20,4,35.06678093,126.5877008
광주전남,함평,서해안선,40~45,서울,40,4,35.15494396,126.4829252
광주전남,남원,광주대구선,60~65,광주,60,3,35.44407521,127.4358331
광주전남,남원,광주대구선,35~40,광주,35,3,35.36635794,127.1897231
광주전남,남원,광주대구선,90~95,대구,90,3,35.54331396,127.6965106
광주전남,남원,광주대구선,50~55,대구,50,3,35.4147937,127.3358398
광주전남,담양,호남선,50~55,순천,50,3,35.26162353,127.1393044
광주전남,순천,남해선,20~25,부산,20,3,34.97673035,127.6690088
광주전남,순천,호남선,20~25,순천,20,3,35.05398465,127.2799286
광주전남,함평,무안광주선,15~20,무안,15,3,35.04682455,126.5399563
광주전남,함평,서해안선,30~35,목포,30,3,35.06495443,126.4796394
대구경북,영주,중앙선,200~205,부산,200,3,36.60963803,128.5714513
대구경북,영주,중앙선,240~245,춘천,240,3,36.90126846,128.4387041
대전충남,공주,당진대전선,85~90,대전,85,7,36.42787173,127.2883162
대전충남,공주,당진대전선,70~75,당진,70,6,36.49757054,127.1654894
대전충남,공주,당진대전선,80~85,당진,80,5,36.45888882,127.2501974
대전충남,공주,당진대전선,85~90,당진,85,5,36.42787173,127.2883162
대전충남,공주,당진대전선,30~35,대전,30,5,36.64697591,126.825385
대전충남,대전,경부선,290~295,부산,290,5,36.50678565,127.428891
대전충남,당진,서해안선,280~285,목포,280,4,36.95813112,126.8551808
대전충남,대전,경부선,275~280,부산,275,4,36.37954895,127.4275565
대전충남,대전,경부선,300~305,서울,300,4,36.59470447,127.4231656
대전충남,부여,서천공주선,50~55,서천,50,4,36.40765114,127.0013392
대전충남,부여,서천공주선,55~60,서천,55,4,36.44453615,127.0306515
대전충남,영동,대전남부순환선,5~10,서대전,5,4,36.28565727,127.3700006
대전충남,천안,경부선,305~310,부산,305,4,36.62535986,127.3836864
대전충남,천안,경부선,330~335,부산,330,4,36.7602895,127.217288
대전충남,공주,당진대전선,80~85,대전,80,3,36.45888882,127.2501974
대전충남,당진,당진대전선,5~10,대전,5,3,36.81626191,126.6534305
대전충남,당진,서해안선,270~275,서울,270,3,36.91907304,126.7591522
대전충남,당진,서해안선,235~240,서울,235,3,36.688381,126.5547572
대전충남,대전,경부선,285~290,부산,285,3,36.4657563,127.4183421
대전충남,대전,경부선,270~275,서울,270,3,36.34962947,127.4663024
대전충남,대전,호남지선,35~40,논산,35,3,36.29909996,127.31392
대전충남,대전,호남지선,40~45,논산,40,3,36.34065836,127.3188678
대전충남,대전,호남지선,35~40,회덕,35,3,36.29909996,127.31392
대전충남,영동,경부선,260~265,부산,260,3,36.31774985,127.5564176
대전충남,영동,경부선,220~225,서울,220,3,36.21621999,127.931716
대전충남,영동,대전남부순환선,0~5,산내,0,3,36.29407848,127.3160565
대전충남,천안,경부선,340~345,부산,340,3,36.8254311,127.1681066
대전충남,천안,경부선,345~350,부산,345,3,36.86733004,127.1866601
부산경남,서울산,경부선,25~30,서울,25,3,35.43939439,129.073631
부산경남,진주,남해선,60~65,부산,60,3,35.08554152,128.0420868
부산경남,창원,남해선,115~120,순천,115,3,35.28170874,128.4996875
수도권,경기광주,중부선,335~340,통영,335,4,37.31495742,127.3472041
수도권,경기광주,중부선,350~355,하남,350,4,37.43892698,127.2891253
수도권,동서울,수도권제1순환선,115~120,판교,115,4,37.37918528,126.9574134
수도권,시흥,수도권제1순환선,95~100,판교,95,4,37.45570348,126.7974413
수도권,경기광주,중부선,330~335,하남,330,3,37.28319262,127.3849201
수도권,수원,경부선,405~410,부산,405,3,37.38131932,127.1032033
수도권,시흥,수도권제1순환선,105~110,일산,105,3,37.38097843,126.8558042
수도권,시흥,수도권제1순환선,100~105,판교,100,3,37.41908589,126.828963
수도권,시흥,제2경인선,15~20,안양,15,3,37.42861052,126.7966235
전북,논산,호남지선,10~15,논산,10,5,36.15337118,127.1644793
전북,논산,호남지선,30~35,논산,30,5,36.2669873,127.2921401
전북,논산,호남지선,15~20,논산,15,3,36.1588182,127.2148303
전북,논산,호남지선,30~35,대전,30,3,36.2669873,127.2921401
전북,무주,중부선,165~170,통영,165,3,35.97307729,127.6498785
전북,보령,서해안선,170~175,서울,170,3,36.14784775,126.6208259
전북,보령,서해안선,165~170,서울,165,3,36.10898749,126.646671
전북,부안,서해안선,80~85,목포,80,3,35.46608388,126.6736746
전북,부안,서해안선,75~80,서울,75,3,35.42328638,126.6566442
전북,전주,호남선,160~165,천안,160,3,35.79845501,127.023669
전북,진안,순천완주선,115~120,순천,115,3,35.8616768,127.1867518
전북,진안,익산장수선,15~20,장수,15,3,35.86611375,127.2197934
충북,진천,중부선,250~255,통영,250,9,36.62226637,127.4202485
충북,진천,중부선,290~295,통영,290,7,36.9476101,127.4714058
충북,진천,중부선,275~280,하남,275,6,36.81738099,127.4910263
충북,제천,중앙선,275~280,춘천,275,5,37.08378052,128.1698621
충북,진천,중부선,245~250,통영,245,5,36.57914957,127.4275038
충북,진천,중부선,260~265,통영,260,5,36.70880232,127.4375391
충북,진천,중부선,280~285,하남,280,5,36.8593107,127.48117
충북,보은,청주상주선,0~5,청주,0,4,36.56474484,127.4306527
충북,엄정,평택제천선,110~115,평택,110,4,37.07592453,127.9932382
충북,제천,중앙선,295~300,부산,295,4,37.23250754,128.0807089
충북,제천,중앙선,295~300,춘천,295,4,37.23250754,128.0807089
충북,제천,중앙선,265~270,춘천,265,4,37.03734287,128.258328
충북,진천,중부선,305~310,통영,305,4,37.07745194,127.4625306
충북,진천,중부선,270~275,통영,270,4,36.77827315,127.5066813
충북,진천,중부선,320~325,하남,320,4,37.20776468,127.4422137
충북,진천,중부선,295~300,하남,295,4,36.99133404,127.474735
충북,진천,중부선,250~255,하남,250,4,36.62226637,127.4202485
충북,보은,청주상주선,15~20,청주,15,3,36.5088942,127.5774168
충북,엄정,평택제천선,40~45,제천,40,3,36.97198525,127.288285
충북,엄정,평택제천선,55~60,제천,55,3,36.9473256,127.4426183
충북,엄정,평택제천선,65~70,제천,65,3,36.95473654,127.5506555
충북,엄정,평택제천선,50~55,제천,50,3,36.96917182,127.3946104
충북,엄정,평택제천선,55~60,평택,55,3,36.9473256,127.4426183
충북,제천,중앙선,280~285,춘천,280,3,37.12122313,128.1495986
충북,제천,중앙선,250~255,춘천,250,3,36.9277543,128.3338959
충북,진천,중부선,315~320,통영,315,3,37.16308804,127.4400352
충북,진천,중부선,320~325,통영,320,3,37.20776468,127.4422137
충북,진천,중부선,255~260,통영,255,3,36.666547,127.4240858
충북,진천,중부선,265~270,통영,265,3,36.74561896,127.4691292
충북,진천,중부선,270~275,하남,270,3,36.77827315,127.5066813
